,273614N,378604X,BC187,DBVPG1106,DBVPG1373,DBVPG6765,L_1374,NCYC361,SK1,UWOPS05_217_3,UWOPS05_227_2,UWOPS83_787_3,UWOPS87_2421,Y12,Y55,YJM975,YJM978,YJM981,YPS128,YPS606,YS2,YS9
YIL083C,10.44741952,10.68316149,10.83978913,11.34456572,10.75513494,11.426818699999998,11.32123189,10.59227691,11.5185223,10.34842325,10.44836543,10.80521236,10.29540683,10.49225018,10.41874134,11.20067946,11.26992954,10.87286978,11.196760000000001,10.61968751,11.02789924,10.50844358
YIL093C,11.32254203,10.53943333,11.03501152,10.86910286,9.951440155,10.70152585,10.79092196,10.57670924,10.93940841,10.49606696,10.83640468,11.33981808,11.048064199999999,10.52982012,10.80506385,10.10734542,10.67074008,11.19485695,11.067022099999999,10.8134203,10.68542484,10.60399493
YIL094C,12.50576992,12.18090708,12.55091543,12.05459488,12.65854658,12.58915756,12.282390699999999,12.76905453,12.31270635,12.3237058,11.87344388,11.72827877,12.09643614,12.55992609,12.57982014,12.80044255,12.48379962,12.5503,11.88416011,11.95332641,12.76557502,12.59837375
YIL108W,11.18098063,11.14121119,10.580397099999999,10.94899994,11.19862816,11.40062104,10.96186978,11.14433378,11.09251744,10.86888664,10.73482464,11.079918699999999,11.24799349,11.2067816,11.13609028,11.23256216,11.09412974,11.11249594,11.02475117,10.942858099999999,11.23445418,10.80796239
YIL109C,11.77480491,11.97602202,11.68847439,11.70698646,11.85938303,11.58462014,11.57336733,11.75455023,11.55812277,11.779000000000002,11.54039334,12.1160883,11.8674598,11.79482242,11.67694438,11.84128186,11.43150052,11.75666324,11.89461708,11.91012024,11.802216900000001,11.99193301
YIL116W,10.41555431,11.29227928,11.12730692,10.95469144,11.19846264,11.64221291,11.62487142,11.50908941,11.52120042,11.35511908,11.69150757,9.727857201,10.40496565,10.59716978,10.68958663,11.6123909,11.58436517,11.17077011,10.23073223,10.3600775,11.5199377,11.34264046
YIL118W,11.93149262,12.3038114,12.11980822,11.94853708,11.96889511,12.03461296,11.92887024,12.13522739,12.20496918,12.08344951,12.10283833,11.75382387,11.88175678,12.38412577,12.13490618,11.97203512,11.91089358,11.78995879,12.07458118,12.11282655,12.03059869,12.12029432
YIL124W,12.16327468,12.32719701,11.92818165,11.98567572,11.5779653,11.67430348,11.70703267,11.90569653,12.00450259,11.85527218,11.78366044,12.20876039,11.92450974,11.62852851,11.79838592,11.71564479,11.97165439,11.89400993,11.93558821,12.04508164,11.76951687,11.82237781
YIL125W,12.40803341,12.23210168,12.30879464,12.42108873,11.85410463,11.96484398,11.80388469,11.60317276,12.15579246,11.57130633,12.10643714,12.73826788,12.4128028,11.891282,11.85553193,11.80534007,11.84115653,12.21892167,12.61313833,12.37022793,11.90195972,12.11661633
YIL126W,10.96547509,10.65296569,10.956022599999999,10.93735641,10.74687573,10.4619076,10.50589808,10.90456365,10.10242546,11.42868747,11.01920919,11.0067019,11.21565747,11.08364568,10.79568792,11.02492612,10.88133163,10.92405576,10.85288626,10.70659581,11.04906002,11.25406059
YIL128W,13.32487636,12.66509638,12.91325887,13.28539333,12.79329785,13.208481200000001,12.98639897,12.73283079,13.41255199,13.6196271,12.61811319,13.4898323,12.66698772,12.65304201,12.49599752,12.38706496,12.23234221,12.45716355,13.10637001,12.94844414,12.72588696,12.97836762
YIL133C,13.60323745,13.02185433,13.77975437,13.58347894,13.39385071,13.55730041,13.57665031,12.95168737,13.83874817,13.29116212,13.47785893,13.7585742,13.80344209,13.56415427,13.62164203,13.786719199999999,13.84457287,13.89042682,13.81790804,13.56063006,13.80787351,13.90383617
YIL136W,10.584479,11.39426451,10.38252332,10.83570906,9.958801946,8.985978012,9.259541237,9.717606986,10.64535559,10.901338,10.86464037,11.02529267,9.806074287000001,9.587040137,9.878381676,9.654300071,9.799937364,9.082466083,10.80028731,10.800373800000001,9.616972825,9.882109117999999
YIL137C,9.576685267,10.02516753,9.409813978999999,9.441075124,9.436126591,9.571460894,9.800965158,9.988170906,9.722812553999999,9.302802958,10.05415418,9.803614712,10.04596252,10.11604681,9.624914874,9.741425844,9.473255692999999,10.37839951,9.97351693,10.04167394,9.786788835,10.06000765
YIL142W,11.48874321,11.31219248,11.50103739,11.624128500000001,11.71401173,11.84881193,11.604583900000002,11.6410303,11.65819751,11.376436300000002,11.54958036,11.67159493,11.57441563,11.44021136,11.61047447,11.63110373,11.80736479,12.02025055,11.4586597,11.7617131,11.74232963,11.65643094
YIL143C,12.2972745,10.52612757,11.46496891,11.25348342,11.47879103,12.07590213,11.74179402,11.21723346,12.58745737,11.72041171,11.4311327,11.82085741,11.84461946,11.11061721,11.77519625,11.49255485,11.35146446,12.01312267,11.29709018,11.12679961,11.4983466,12.64717452
YIL155C,11.60773485,11.84649672,11.39477115,11.95608239,10.76610426,10.7796754,10.89761037,10.97678809,10.89191027,11.35339402,11.08905951,11.29176692,10.75072691,10.91209172,11.16938294,10.71539344,10.57270368,10.59484086,11.11816951,10.94816475,10.88000885,10.967619699999998
YIL156W-B,8.935887517000001,9.920961255,9.160825907000001,9.452915998,9.135096713,10.06321378,9.50097527,9.717567541000001,9.001609389,9.570678434,9.084782929,9.458460007000001,9.393260816,10.09427573,9.550662045,9.571073066,9.059706579,9.352682389,9.47047747,9.444933867,9.739242496000001,9.477303414
YIL157C,13.15292981,12.32512689,12.62437497,12.58431853,12.87219296,12.20776108,12.9006075,12.54429882,12.71314044,13.15587356,12.53645721,12.82404222,12.67945759,12.71502648,12.84672279,12.72052471,12.96366957,12.78806727,12.53068726,12.49745829,12.98366667,12.79634364
YIL159W,11.66529666,9.665648239,10.70108993,10.49453248,10.5357649,11.58400418,10.94450224,10.4990469,11.94475291,11.117401199999998,10.69078725,11.50375601,11.18236494,10.37517314,10.96847543,10.30712509,10.93000947,11.24798548,10.55213495,10.46177846,10.70457827,12.43268613
YIL162W,10.1842055,9.638187371,10.62667947,9.303796306,10.42507869,10.7458522,10.14543993,9.821569497,11.13694956,11.03655092,11.05055278,9.083611702999999,10.11206494,10.38546119,10.42491888,10.28291955,10.37467255,9.594038193,10.07962028,10.16564695,9.919378496,11.02997561
YIR004W,10.24546258,10.31470782,10.24841864,10.27136446,10.5801761,10.5980091,10.11955273,10.72864128,10.51533061,10.686224300000001,10.46768494,10.27135699,10.56113544,10.78067114,10.25487856,10.78353329,10.67185614,10.82065704,10.50892788,10.55390419,10.72568882,10.09621016
YIR006C,10.83418635,10.88584761,10.79679428,10.986086199999999,10.84483935,10.78874309,10.69931811,11.03306715,11.12039354,9.320171944,10.97604471,11.0693921,10.72193404,10.92995664,10.76456536,11.23412729,11.1335549,11.21378895,11.17195469,11.09364583,11.11543224,10.87601657
YIR008C,11.90396738,11.49701614,13.90635938,13.76554209,13.67173341,13.74714135,13.63599488,13.70305452,13.5427546,13.66793348,13.47394866,13.16691219,13.39095753,13.79390329,12.98312811,13.09787845,13.77323356,13.05596335,13.641374300000003,12.53576131,13.988072899999999,13.17654734
YIR022W,11.84915452,11.63380595,11.43003456,11.79572804,11.75615505,11.88208112,11.51863796,11.79044502,11.53978425,11.74696751,11.513102400000001,11.69382056,11.60304776,11.70047798,11.83489632,11.82394197,11.49807736,11.41236007,11.61801828,11.5577416,11.79889054,11.89516562
YIR029W,11.62353006,12.02387862,11.46442402,11.561534,11.62363897,11.71499808,11.8931427,11.75287327,12.01788121,11.90893257,11.86145182,11.38885404,11.60860129,11.79808759,12.167848199999998,11.61770843,12.30749573,11.65827697,11.63334573,11.70871815,11.45502602,11.24077096
YIR031C,10.88214154,9.788240853,10.90124588,12.99859439,10.38610365,12.54177585,11.0155835,10.23230173,11.84187436,11.86391065,12.60810309,11.10799665,10.65696563,10.05983347,11.69297896,10.60034511,11.942234,10.25687659,10.58630828,10.77196088,11.49005796,13.46174688
YIR034C,13.03694654,12.68118909,12.82524756,12.6970089,13.35237669,13.14955965,13.08255487,13.24093124,13.14937551,12.56354005,12.56286928,12.93566348,13.18843779,13.39390354,13.02130404,13.25543805,12.61589345,13.16047334,13.05644085,13.05049238,13.32674644,13.03231773
YIR035C,10.00158819,11.52135393,9.571104896,9.410605459,9.942466182999999,10.24537784,10.36707548,10.25727281,11.27348783,9.991810972,10.96020342,10.83251114,10.1267764,11.12256202,10.88346438,9.848108268999999,9.256084388,9.329535481,10.439936999999999,10.46831146,9.995989312999999,9.933679352
YIR036C,10.23833516,10.55673448,10.67835619,10.68361447,10.75046675,10.17824912,10.52437609,10.75146221,10.95260961,10.32481362,10.39038204,10.73077035,10.66399111,10.42538644,10.95441445,10.66234913,10.69893846,10.43018251,10.55266923,10.36650568,10.57871499,10.46821285
