,273614N,378604X,BC187,DBVPG1106,DBVPG1373,DBVPG6765,L_1374,NCYC361,SK1,UWOPS05_217_3,UWOPS05_227_2,UWOPS83_787_3,UWOPS87_2421,Y12,Y55,YJM975,YJM978,YJM981,YPS128,YPS606,YS2,YS9
YFR033C,-11316.85750915751,-11291.09465201465,-11316.85750915751,-11316.85750915751,-11316.85750915751,-11316.85750915751,-11227.35750915751,-11316.85750915751,-11668.983882783881,-11281.008769661712,-11031.008769661712,-11423.796126422598,-11504.857509157508,-11684.913389074693,-11316.85750915751,-11316.85750915751,-11316.85750915751,-11316.85750915751,-11316.85750915751,-11316.85750915751,-11316.85750915751,-11932.121289821289
YFR037C,-54445.945645645654,-54279.87222222222,-54128.87222222222,-54128.87222222222,-54128.87222222222,-54128.87222222222,-54040.87222222222,-54128.87222222222,-54630.93888888888,-54347.279710144925,-54355.288888888885,-54720.87222222222,-53864.945645645654,-53995.87222222222,-54128.87222222222,-54128.87222222222,-54128.87222222222,-54128.87222222222,-54091.647222222215,-54091.647222222215,-54128.87222222222,-54099.87222222222
YFR040W,-76009.65476190476,-76958.14836829837,-76158.37715617716,-77012.67715617716,-77046.67715617716,-77012.67715617716,-77249.67715617716,-77046.67715617716,-76514.37715617716,-76301.87715617716,-76301.87715617716,-75786.87715617716,-76516.37715617716,-75793.87715617716,-77106.67715617716,-77046.67715617716,-77046.67715617716,-77046.67715617716,-76198.37715617716,-76198.37715617716,-77046.67715617716,-76338.37715617716
YFR041C,-21437.85,-21718.683333333334,-22056.959649122808,-21685.683333333334,-21685.683333333334,-21685.683333333334,-21685.683333333334,-21685.683333333334,-22527.85,-22113.578494623653,-22109.578494623653,-22109.578494623653,-23179.888018433183,-21835.578494623653,-21685.683333333334,-21685.683333333334,-21685.683333333334,-21685.683333333334,-21843.798198198194,-21843.798198198194,-21685.683333333334,-21541.959649122808
YFR044C,-47225.944444444445,-47417.77777777778,-47852.944444444445,-47421.944444444445,-47225.944444444445,-47327.944444444445,-47421.944444444445,-47225.944444444445,-47715.944444444445,-47470.944444444445,-47470.944444444445,-48283.944444444445,-47852.944444444445,-47959.944444444445,-47416.944444444445,-47225.944444444445,-47225.944444444445,-47225.944444444445,-47526.944444444445,-47526.944444444445,-47225.944444444445,-47033.944444444445
YFR049W,-13451.333333333334,-11964.761904761906,-12069.761904761906,-12069.761904761906,-12069.761904761906,-12069.761904761906,-12069.761904761906,-12069.761904761906,-11805.761904761906,-11771.761904761906,-11771.761904761906,-11964.761904761906,-12977.333333333334,-12714.333333333334,-12069.761904761906,-12069.761904761906,-12069.761904761906,-12069.761904761906,-11913.761904761906,-11913.761904761906,-12069.761904761906,-13278.666666666666
YFR050C,-21524.952406417113,-21524.952406417113,-22068.909090909096,-22068.909090909096,-22068.909090909096,-22068.909090909096,-22068.909090909096,-22068.909090909096,-22501.586977772113,-21475.004761904762,-21475.004761904762,-21069.600000000002,-21069.600000000002,-21116.600000000002,-22068.909090909096,-22068.909090909096,-22068.909090909096,-22068.909090909096,-21214.004761904762,-21214.004761904762,-22068.909090909096,-22695.91176470588
YFR051C,-52179.843589743585,-51419.976811594206,-51615.17575757575,-52179.843589743585,-52179.843589743585,-52179.843589743585,-52179.843589743585,-52179.843589743585,-51741.510256410256,-50933.471794871795,-50933.471794871795,-51890.510256410256,-51947.510256410256,-51419.976811594206,-52179.843589743585,-52179.843589743585,-52179.843589743585,-52179.843589743585,-50795.752482269505,-50795.752482269505,-52179.843589743585,-51315.752482269505
YFR052W,-20317.106713554986,-20352.606713554986,-20317.106713554986,-20317.106713554986,-20149.546153846153,-20149.546153846153,-20149.546153846153,-20149.546153846153,-20739.165056134723,-19563.714689265536,-19563.714689265536,-19852.53967304625,-19823.53967304625,-19972.119487179487,-20149.546153846153,-20149.546153846153,-20149.546153846153,-20149.546153846153,-20059.606713554986,-20059.606713554986,-20149.546153846153,-21199.09139784946
YFR053C,-45833.80657704867,-48247.50289855072,-47786.50289855072,-47576.50289855072,-47092.80657704867,-47092.80657704867,-48259.80676176024,-47092.80657704867,-44868.20352869353,-45400.18157704867,-45400.18157704867,-45457.85278795278,-46447.29159632638,-46326.80657704867,-47092.80657704867,-47092.80657704867,-47092.80657704867,-47092.80657704867,-45802.80657704867,-45802.80657704867,-47092.80657704867,-46095.97324371534
YGL001C,-33489.46428571428,-33442.46428571428,-33452.46428571428,-33452.46428571428,-33452.46428571428,-33452.46428571428,-33452.46428571428,-33452.46428571428,-32786.724047437434,-32786.91757613096,-32786.91757613096,-33617.46428571428,-33711.46428571428,-33522.46428571428,-33452.46428571428,-33452.46428571428,-33452.46428571428,-33452.46428571428,-33617.46428571428,-33617.46428571428,-33452.46428571428,-33594.46428571428
YGL006W,-106882.64148125777,-106923.76480821504,-107104.44931646995,-107104.44931646995,-106627.61651010791,-107104.44931646995,-107016.64148125777,-106627.61651010791,-107016.98173065924,-106965.24512276611,-106965.24512276611,-106841.7911024699,-106986.227537484,-106894.76480821504,-106559.64148125777,-106627.61651010791,-106627.61651010791,-106627.61651010791,-106841.7911024699,-106841.7911024699,-106627.61651010791,-106523.93147488171
YGL008C,-88585.50021163047,-90091.81578947368,-88702.50021163047,-88585.50021163047,-88585.50021163047,-88300.50021163047,-88300.50021163047,-88585.50021163047,-90793.81578947368,-88870.50021163047,-88870.50021163047,-89962.81578947368,-88606.50021163047,-89757.81578947368,-88300.50021163047,-88585.50021163047,-88300.50021163047,-88585.50021163047,-90504.81578947368,-89962.81578947368,-88585.50021163047,-88225.50021163047
YGL009C,-69896.00699300699,-69648.00699300699,-70142.00699300699,-69725.00699300699,-70142.00699300699,-70142.00699300699,-70015.00699300699,-70142.00699300699,-69770.94080338266,-70991.33653846153,-71019.33653846153,-70045.21673254282,-69709.00699300699,-69648.00699300699,-70142.00699300699,-70142.00699300699,-70142.00699300699,-70142.00699300699,-69725.00699300699,-69725.00699300699,-70142.00699300699,-69539.31818181818
YGL011C,-22464.598086124402,-22491.598086124402,-22464.598086124402,-22214.598086124402,-22464.598086124402,-22464.598086124402,-22464.598086124402,-22464.598086124402,-22242.598086124402,-22228.598086124402,-22228.598086124402,-22491.598086124402,-22013.598086124402,-22491.598086124402,-22464.598086124402,-22464.598086124402,-22464.598086124402,-22464.598086124402,-22491.598086124402,-22491.598086124402,-22464.598086124402,-22137.598086124402
YGL012W,-44243.3717948718,-43569.583333333336,-43753.958333333336,-43747.958333333336,-43753.958333333336,-43747.958333333336,-44243.3717948718,-43753.958333333336,-43040.47619047618,-43915.294871794875,-43915.294871794875,-43598.958333333336,-43911.02745098039,-43402.583333333336,-44243.3717948718,-43753.958333333336,-43753.958333333336,-43753.958333333336,-44243.02745098039,-44243.02745098039,-43569.583333333336,-43753.958333333336
YGL013C,-87408.38039215686,-87306.38039215686,-87473.38039215686,-87408.38039215686,-87387.38039215686,-87077.50093822475,-87408.38039215686,-87387.38039215686,-87008.56135531135,-86744.08516483517,-86744.08516483517,-86618.94230769231,-87065.85812778953,-86226.61204933588,-87408.38039215686,-87387.38039215686,-87387.38039215686,-87387.38039215686,-86829.95330330331,-86829.95330330331,-87387.38039215686,-87221.38039215686
YGL014W,-70099.40344129555,-71510.29092169092,-71041.29092169092,-71294.29092169092,-71242.29092169092,-71029.29092169092,-71041.29092169092,-71242.29092169092,-71237.29092169092,-71146.29092169092,-71146.29092169092,-71378.29092169092,-71847.29092169092,-71366.04047124047,-71041.29092169092,-71242.29092169092,-71041.29092169092,-71242.29092169092,-70936.29092169092,-70954.29092169092,-71242.29092169092,-71018.87850333028
YGL019W,-27451.974489962075,-27925.593931198397,-27459.14115662874,-27451.974489962075,-27451.974489962075,-27499.457248582763,-28021.664202880733,-27451.974489962075,-25730.257940099116,-26100.572042663218,-26100.572042663218,-27693.593931198397,-28042.938758784603,-27925.593931198397,-27451.974489962075,-27451.974489962075,-27344.26700128217,-27451.974489962075,-27925.593931198397,-27925.593931198397,-27451.974489962075,-28046.409503224673
YGL020C,-20519.549019607843,-20565.73333333333,-20625.549019607843,-20625.549019607843,-20625.549019607843,-20625.549019607843,-20625.549019607843,-20625.549019607843,-20931.795454545456,-20565.73333333333,-20565.73333333333,-20565.73333333333,-20703.73333333333,-20565.73333333333,-20634.549019607843,-20625.549019607843,-20625.549019607843,-20625.549019607843,-20525.73333333333,-20525.73333333333,-20625.549019607843,-20527.549019607843
YGL022W,-75298.15428571429,-74233.15428571429,-74557.15428571429,-75090.15428571429,-75276.15428571429,-75086.15428571429,-75276.15428571429,-75276.15428571429,-72770.01115551117,-74057.15428571429,-74057.15428571429,-74349.15428571429,-72551.7934065934,-74088.15428571429,-75276.15428571429,-75276.15428571429,-74710.65428571429,-75276.15428571429,-74271.15428571429,-74271.15428571429,-75276.15428571429,-74143.15428571429
